publication			出版
treatise			专著
scrutiny			仔细的审查
emphasis			重视
violent				暴力的
urges				欲望
repression			压抑
premise				前提
reflect				反应
quotidian			平常的
epiphenomenon			附带现象
consolidation			巩固，加强
mental				精神上的
resemblance			相似之处
dubbed				把...称为
hypothesis			假设，学说
individuals			个人，个体
indeed				确实
adolescence			青春期
adulthood			成年
algorithm			算法
veteran				老兵
intense				强烈的
exposure			接触
conflict			冲突
aggression			侵犯
military			军事的
pass muster			被认为合格
admittedly			诚然
\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\			
