Goliath				巨人
The Guardian				卫报
Wall Street			华尔街
a range of				一大片，一排
a world of		大量的
abandon			放弃
abstinent		节制的
accordingly			因此，相应的
across				横穿过，在...对面
activity			活跃，活动
addict				对...入迷的人
admission			准许进入，承认
admittedly			诚然
adolescence			青春期
adulthood			成年
adverse			不利的
advocate			支持，拥护者
affect				影响，打动，侵袭
affront				侮辱
aggression			侵犯
agonizing			使人极度痛苦的
agreement			同意，协议
airfare				飞机票价
alcohol		酒
alcoholic		含酒精的
algorithm			算法
alienate		使某人感到被孤立
ancient				古代的，年老的
annual				每年的
annually			每年
anxiety				焦虑
appearing			呈现
apply				申请，应用
archive				档案，存档
argue				争论，主张
argument			争论，理由
around		存在着的
as of				在...时
aside				向旁边，旁白
aside from			除...之外
aspect				部分，方面
associate		把...联系起来
association			协会，联合
astronomy				天文学
at play			某种因素在大格局里起作用
at the expense	以...为代价
auspicious			吉利的
awe					敬畏
ban				明令禁止，禁令
barely				仅仅，几乎不
belt				腰带，地带
benefit			益处
bet				赌
beverage		饮料
bias				偏见，倾向
bilateral			双边的
bind				捆，束缚
binge				大吃大喝
blast				爆炸，痛斥
bond			建立友谊
bound				一定的
broad			广的
broaden				扩大，增加
brutal				残忍的
budget				预算，便宜的
burn				烧毁
byword				典范，格言
calendar				历法，日历
campaign				战役，运动
campus				校园
capital			首都
captivity			囚禁
catalyst		促进因素
caution			小心
census			调查，统计
chain				链条，一系列
character		性格，特性，字
charity				慈善机构
chief				领袖，首要的
chip				芯片，薯条
clan				宗族
clinical			临床的
clip				夹子，别针，夹住
closely				紧紧的，接近的
clout				重击，势力
cobweb		蜘蛛网
code			密码，编码
coerce		强迫
coffin		棺材
commission			委员会，委托，使用中
compartment			车厢，隔间
compatible		可共存的，兼容的
concern				担心
conclude				结束，推断，决定
condition			疾病
conduct			组织
conflict			冲突
consequence				结果，重要性
consolidation			巩固，加强
constellation				星座，一群
constraint			限制，强迫
content				满意的，满足，内容
continent			大陆
conventional			传统的
correlate			相关联
counsel				劝告，建议
counsellor			顾问
courtship			求爱期
crisis				危机
critic				评论家，批评者
cross over			转投
cruise				乘船游览，巡行
cub				幼兽
curator				馆长
curriculum			课程
deal with			处理
debut		首次亮相，出道
decade				十年
deem				认为
demand			强求
dent				凹痕，消减
depart				出发，背离
depression			忧郁
deprive				剥夺
deracinate				迫使离开
describe			描述，形容
desire				渴望
desperately				绝望的，及其
diplomacy			外交
direct				直接的，指示
disadvantaged			贫穷的
disorientate				使迷失方向
dispel				驱散，消除
distress				痛苦，危难
diverse			多种多样的
diversity		多样性
divination				占卜
dock				船坞，扣去
documentary			纪录片
domestic				国内的，家里的
dopamine			多巴胺
downplay			对...轻描淡写
downward	向下的，朝下的
draw				画，吸引，拉
draw level with			与...拉平
drive up			提高
dub				把...称为
economist			经济学家
electrode			电极
eligible			有资格的，合意的
elite				精英
embassy			大使馆
emphasis			重视
empress				皇后
emptiness			空旷，无意义
end up				最终
entertainment			娱乐，款待
entire				全部的，绝对的
entrepreneur			企业家，创业者
epiphenomenon			附带现象
episode		事件
equitable			公正的
essentially	本质上
establishment				创立，编制
exceed				超过，超出
executive		经理
exhibit				展出，表现出
expect				预计
expectation			预料，希望
experience			经验，经历
exposure			接触
factor			因素
fall					落下，发生，失守
famously			著名的
federal			联邦制的
feed				喂，满足，给...提词
figure out			想出，算出，弄明白
film				电影，拍摄
fine				罚款，极好的
finicky				过分讲究的
flee		逃跑
for the sake of		为了...起见
fortune				运气，大笔财产
founder			创建者
framework			构架
from time to time		不时的
frustrate	使...沮丧
fuel				燃料，用作...的燃料
fundamental			基本的，全然的，根本的
furore				轰动，公愤
gender				性别，性
generally			一般的，普遍的
geography			地理学，地形
giant				巨人，大公司
govern				统治，支配，决定
governing body			学校行政机构
governor			地方行政长官
grainy				麻面的，粒状的
greener pastures	更好的事物或地方
happen to		发生
harm				损害
have to do with		与...有关
havoc				大破坏，大混乱
heat				发情期
heritage		遗产
hesitant			犹豫的
hinder				妨碍，阻挡
hit		轰动一时的人物
hook				勾住
humdrum				乏味的，单调
hypothesis			假设，学说
ideal				理想的
illumination				照明
imbibe		喝
immortalize			使...千古留名
immunity			免疫力，豁免
implant				移植物，植入
implicate			被涉及，牵连
impose				强制执行，将...强加于人
inch				少许，缓慢移动
income				收入
inconsistent			反常的，不一致的
incubator			孵化器
indeed				确实
indefatigable			不知疲倦的
indicate			表明
indication			迹象
individual			个人，个体
inequitable			不公平的
inextricably				解不开的，分不开的
infrastructure		基础设施
inherent			与身俱来的
initially			起初
initiative			主动性
injunction			禁制令，警告，命令
innovate	改革
instant		即刻的
instinctively				本能的
intense				强烈的
internal			里面的
investigate			调查，审查
investigation			侦查，调查研究
investment	投资
joyful				快乐的
keep up with			跟上
landmark				地标，里程碑
landscape	形势
lap				大腿，一圈，轻拍
lap up				欣然接受
lawsuit				诉讼
leisure				空闲
lengthen			加长
line of defense	防线
linger				逗留，留存
loan				借款，借用
longevity			寿命
lottery				碰运气的事
lubricant		润滑剂
made great strides		取得巨大进展
magnificent				壮丽的，极好的
mainstay	支柱，主要部分
majority		大多数
make appointment	预约
make up				组成，补偿
massive				大的，严重的
match				比赛，和...匹配
memorandum			备忘录
mental				精神上的
merchant				商人，商人的
mere					仅仅的，最少的
mighty				强大的
migrate				移居，迁徙
military			军事的
minimum				最低限度
minister			部长
minority		少数
miraculously	奇迹般的
mitigate				缓和，减轻
monopolistic			垄断的
monopoly	垄断
mortality		死亡
multiply			乘，繁殖，多样的
nail		钉子
national			国家的
nationally			全国性的
navigation				导航，航行
negotiate			谈判
neighboring			邻近的
nerve				神经
neurological			神经的
neurotransmitter		神经递质
nigh				近的
non-profit			非营利性的
normality			正常状态
object				物品，对象，目的，反对
offspring			子女
on a par with			与...同样
once and for all		彻底的
opponent			对手，反对者
organ				器官
overall				总体的
overhaul			全面修订
overseas			外国的
pacific				平静的，太平洋
pandemic			疾病大范围流行的
paradise			天堂，乐园
parliament			议会
participation			参加
particularly			专门，特别
pass muster			被认为合格
pave		铺地面
penalty				处罚
perfect storm			祸不单行
persist				持续存在，坚持不懈
perspective		透视法，观点
phase				阶段
phase out			逐步废除
physically			肉体的
piece				块，片，段，张，件，部件
pipeline			管道，渠道
point out			指出
policy				政策，原则
potential			潜在的，可能的
practice			实践，练习，常规，习惯
praise				赞美
predicament		尴尬的处境
preliminary			初步的
premise				前提
premium				附加费，优质的
presence				在场，风度
presentation			报告，演讲
pretty				漂亮的，非常
prevent				阻止
previously			以前
prime time			黄金时间
proceed				继续，前行
prodigious				庞大的，惊人的
profit				利润
programme			计划，节目，频道
project			项目
prominent			重要的，著名的，显眼的
prompt			促使
property			特性
provocative			挑衅的
provoke		激怒
psychologist			心理学家
publication			出版
qualification			资格，素质
quotidian			平常的
race				竞速，种族
racially		在种族上
rail				栏杆，铁轨
raise				举起，提高，提出，扶养大
range				种类，系列，范围
rank				地位，等级，排
rattle				乒乓响
reach a crisis point		迫在眉睫
reflect				反应
reflection		映像
reform				改良，改革
regulate				控制，调节
regulator			监管者
