addict				对...入迷的人
conventional			传统的
properties			特性
to a certain extent		从某种程度来说
praise				赞美
stimulate			刺激
neurotransmitter		神经递质
dopamine			多巴胺
implicated			被涉及，牵连
desire				渴望
inherent			与身俱来的
brutal				残忍的
sacrifice			牺牲
famously			著名的
psychologists			心理学家
hedonic				享乐的
treadmill			跑步机
wearoff				感觉逐渐消失
reward				报偿
hook				勾住
substances			物质
agonizing			使人极度痛苦的
physically			肉体的
depression			忧郁
anxiety				焦虑
elite				精英
tyrannical			残暴的
substitute			代替品
\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\
		
